class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
protein targeting(GO:0006605)	122	98	2.766447935	0.37712	1.671771304	0.75103	0.492525871	0.084505659	0.058756974	0.081224015	0.121641396	0.159766899	0.197451256
protein threonine/tyrosine kinase(GO:0004712)	17	9	2.419175702	0.4466	1.051844851	0.87045	0.429988355	0.13478182	0.263484415	0.214188685	0.376641551	0.527990371	0.686491811
protein translocase(GO:0015450)	10	7	1.414736889	0.68094	0.587895771	0.9477	0.296915057	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
protein tyrosine phosphatase(GO:0004725)	94	63	2.356214961	0.45954	1.533000133	0.77809	0.447000448	0.017668104	0.010042953	0.001376878	0.027324091	0.120588549	0.256345541
protein tyrosine/serine/threonine phosphatase(GO:0008138)	49	37	2.472713254	0.43412	1.575935475	0.77052	0.467492756	0.035379163	0.037410915	0.089677554	0.157941458	0.261228514	0.259026644
protein ubiquitination(GO:0016567)	5	5	2.346496187	0.46157	1.946092193	0.70467	0.479590608	0.344771205	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
protein-cofactor linkage(GO:0018065)	6	4	2.986015186	0.33727	2.443873907	0.62146	0.531483265	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
protein-glutamine gamma-glutamyltransferase(GO:0003810)	6	5	2.390940923	0.45089	0.828715377	0.9074	0.402239615	0.344771205	0.405945729	0.396759683	0.333134433	0.257900072	0.811454522
protein-hormone receptor(GO:0016500)	13	7	1.997973763	0.53897	1.143522457	0.85214	0.332392767	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
protein-lipoylation(GO:0009249)	6	4	2.986015186	0.33727	2.443873907	0.62146	0.531483265	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
protein-membrane targeting(GO:0006612)	33	28	2.22816954	0.48747	1.395649726	0.80479	0.407984614	0.08670639	0.179657827	0.185051522	0.238258308	0.280782897	0.30985584
protein-mitochondrial targeting(GO:0006626)	5	4	3.44683141	0.26217	2.273566221	0.64636	0.588038767	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
protein-nucleus import(GO:0006606)	36	31	2.824143286	0.366	1.775117467	0.73401	0.515423789	0.070599933	0.169519352	0.189893804	0.234636931	0.252725916	0.36270791
"protein-nucleus import, docking(GO:0000059)"	17	14	3.534152285	0.24918	3.36734737	0.48687	0.650537264	0.009617457	0.050659387	0.289013723	0.261828441	0.370164396	0.556928008
"protein-nucleus import, translocation(GO:0000060)"	7	5	3.767596853	0.21805	3.833377501	0.41988	0.652354004	0.148785806	0.235734836	0.396759683	0.333134433	0.701361285	0.811454522
protein-peroxisome targeting(GO:0006625)	9	7	3.337377378	0.27871	4.234331445	0.37078	0.628361522	0.11276898	0.041724008	0.394492294	0.467959592	0.608543448	0.746370111
proteoglycan metabolism(GO:0006029)	6	6	3.165426996	0.30563	2.664329518	0.58487	0.522960822	0.328165729	0.274068357	0.401240846	0.35870215	0.288313959	0.199321761
proteoglycan(GO:0005203)	11	8	2.520544961	0.42438	2.565857616	0.6028	0.532191038	0.265378933	0.302253673	0.379933254	0.385053587	0.566840302	0.71580696
proton transport(GO:0015992)	61	48	2.814863845	0.36814	1.906855091	0.70933	0.513152586	0.118324009	0.135978464	0.125115299	0.18580027	0.122242962	0.275712273
proton-transporting ATP synthase complex (sensu Eukarya)(GO:0005753)	11	10	2.398130287	0.45089	1.906855091	0.70933	0.495951807	0.215546951	0.229686715	0.337242032	0.33789298	0.491798765	0.658373848
proton-transporting ATP synthase complex(GO:0045259)	11	10	2.398130287	0.45089	1.906855091	0.70933	0.495951807	0.215546951	0.229686715	0.337242032	0.33789298	0.491798765	0.658373848
pteridine biosynthesis(GO:0006728)	4	4	1.932260815	0.55327	0.77296473	0.91777	0.409372743	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
pteridine metabolism(GO:0019889)	4	4	1.932260815	0.55327	0.77296473	0.91777	0.409372743	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
P-type ATPase(GO:0015662)	32	26	2.568325117	0.41635	1.929723799	0.70728	0.486340675	0.151153895	0.182806516	0.212341266	0.233388715	0.278194951	0.374905665
purine base metabolism(GO:0006144)	7	6	2.365334431	0.45755	1.838673932	0.72344	0.503733141	0.282459155	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
purine nucleoside catabolism(GO:0006152)	5	5	4.589181609	0.13023	4.279840697	0.36457	0.793473811	0.034527854	0.068398986	0.148048042	0.333134433	0.257900072	0.811454522
purine nucleoside monophosphate biosynthesis(GO:0009127)	5	5	3.28003438	0.28585	2.323323763	0.63719	0.643395545	0.320392215	0.235734836	0.148048042	0.333134433	0.701361285	0.811454522
purine nucleoside monophosphate metabolism(GO:0009126)	22	15	2.569660024	0.41635	1.620488633	0.76234	0.528511151	0.207955736	0.243495759	0.281019806	0.337911752	0.34477583	0.534103089
purine nucleoside triphosphate biosynthesis(GO:0009145)	16	9	2.090684361	0.51597	1.50379829	0.78538	0.474146355	0.13478182	0.100697074	0.214188685	0.376641551	0.527990371	0.686491811
purine nucleoside triphosphate metabolism(GO:0009144)	16	9	2.090684361	0.51597	1.50379829	0.78538	0.474146355	0.13478182	0.100697074	0.214188685	0.376641551	0.527990371	0.686491811
purine nucleotide biosynthesis(GO:0006164)	25	17	2.88137722	0.35524	2.21319394	0.65848	0.560586178	0.204239897	0.218520741	0.241303605	0.282689202	0.374517644	0.491213664
purine nucleotide metabolism(GO:0006163)	30	21	2.856404767	0.36048	2.21319394	0.65848	0.557750088	0.180095355	0.199005111	0.238046278	0.282899497	0.348310717	0.415464835
purine ribonucleoside monophosphate biosynthesis(GO:0009168)	5	5	3.28003438	0.28585	2.323323763	0.63719	0.643395545	0.320392215	0.235734836	0.148048042	0.333134433	0.701361285	0.811454522
purine ribonucleoside monophosphate metabolism(GO:0009167)	6	6	2.739001428	0.38292	2.323323763	0.63719	0.538495504	0.328165729	0.274068357	0.187176934	0.35870215	0.653308958	0.778234229
purinergic nucleotide receptor(GO:0001614)	4	4	1.846813256	0.57451	2.304450908	0.64097	0.509601493	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
pyrimidine base metabolism(GO:0006206)	8	7	2.170133737	0.49822	1.30229912	0.82167	0.438464583	0.313701777	0.29738265	0.220866077	0.375498315	0.608543448	0.746370111
pyrimidine biosynthesis(GO:0019856)	7	6	2.281172525	0.47426	1.30229912	0.82167	0.433746789	0.328165729	0.274068357	0.187176934	0.35870215	0.653308958	0.778234229
pyrimidine nucleoside monophosphate biosynthesis(GO:0009130)	5	4	5.068760462	0.09337	5.457174573	0.24134	0.743107392	0.087136606	0.03529256	0.013094319	0.648012787	0.752941299	0.846088534
pyrimidine nucleoside monophosphate metabolism(GO:0009129)	18	13	3.934527721	0.19626	2.619560814	0.59621	0.65751291	0.120948131	0.096588495	0.031436264	0.250107329	0.38034782	0.322544117
pyrimidine nucleoside triphosphate biosynthesis(GO:0009148)	11	7	2.875071846	0.35693	2.466257802	0.61811	0.575523477	0.313701777	0.341297905	0.394492294	0.375498315	0.608543448	0.746370111
pyrimidine nucleoside triphosphate metabolism(GO:0009147)	11	7	2.875071846	0.35693	2.466257802	0.61811	0.575523477	0.313701777	0.341297905	0.394492294	0.375498315	0.608543448	0.746370111
pyrimidine nucleotide biosynthesis(GO:0006221)	9	7	3.913965017	0.19877	5.074172425	0.27853	0.604187815	0.11276898	0.041724008	0.012785916	0.375498315	0.608543448	0.746370111
pyrimidine nucleotide metabolism(GO:0006220)	25	19	3.7883111	0.21549	2.466257802	0.61811	0.623529636	0.11653552	0.069029773	0.015314572	0.084947827	0.240378343	0.140790777
pyrimidine nucleotide sugar transporter(GO:0015165)	6	5	1.984649708	0.54136	1.624297987	0.76234	0.504274533	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
pyrimidine ribonucleoside triphosphate biosynthesis(GO:0009209)	10	6	2.290766042	0.47227	2.466257802	0.61811	0.519368176	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
pyrimidine ribonucleoside triphosphate metabolism(GO:0009208)	10	6	2.290766042	0.47227	2.466257802	0.61811	0.519368176	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
pyrophosphatase(GO:0016462)	7	4	3.219655875	0.29738	4.42945706	0.34832	0.548308452	0.281506813	0.182480293	0.376626963	0.297009483	0.752941299	0.846088534
RAB GTPase activator(GO:0005097)	7	6	4.324799306	0.15431	2.149145549	0.67151	0.581145633	0.328165729	0.274068357	0.187176934	0.35870215	0.288313959	0.199321761
RAB small monomeric GTPase(GO:0003928)	46	32	2.918773242	0.34977	1.900562293	0.70933	0.529143513	0.140056337	0.152585845	0.064749123	0.123627369	0.277421563	0.237628664
racemase and epimerase(GO:0016854)	7	7	1.200325092	0.73647	1.01252501	0.87533	0.325011614	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
"racemase and epimerase, acting on carbohydrates and derivatives(GO:0016857)"	5	5	1.123977043	0.75856	0.17928505	0.99517	0.28089103	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
radiation response(GO:0009314)	9	9	1.852266195	0.57244	0.964022236	0.88384	0.402923343	0.25067944	0.306203869	0.360186061	0.376641551	0.527990371	0.686491811
RAN protein binding(GO:0008536)	12	11	3.538156138	0.24918	3.352339327	0.48764	0.566541423	0.069788964	0.057689054	0.163347886	0.075164106	0.370863671	0.296664842
RAS GTPase activator(GO:0005099)	11	5	4.074032323	0.18052	2.985370271	0.53787	0.649440096	0.320392215	0.235734836	0.148048042	0.076254843	0.701361285	0.811454522
RAS guanyl-nucleotide exchange factor(GO:0005088)	5	4	6.388872177	0.03495	5.832682665	0.20819	0.824614736	0.087136606	0.03529256	0.105386691	0.297009483	0.221464771	0.144430828
RAS protein signal transduction(GO:0007265)	42	32	3.318425879	0.28181	3.103082653	0.5211	0.596154717	0.006098739	0.078741759	0.111233017	0.232296337	0.277421563	0.359077284
RAS small monomeric GTPase(GO:0003930)	21	16	2.771620199	0.37518	2.61610209	0.59621	0.547798107	0.179816448	0.152706941	0.270638553	0.323374146	0.378401345	0.51221098
receptor guanylate cyclase(GO:0008075)	9	8	3.532883468	0.24918	2.669081196	0.58487	0.641983859	0.285579569	0.307303762	0.379933254	0.385053587	0.333625169	0.244505203
receptor guanylyl cyclase signaling pathway(GO:0007168)	5	4	2.33157586	0.46351	2.181297172	0.66531	0.52404888	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
receptor mediated endocytosis(GO:0006898)	21	18	2.443982478	0.44058	2.328458765	0.63719	0.49015115	0.154761672	0.179969621	0.244032928	0.141700226	0.278573745	0.471074674
receptor signaling complex scaffold protein(GO:0030159)	6	5	1.931703489	0.55327	1.373966725	0.80956	0.425791692	0.344771205	0.405945729	0.396759683	0.5813859	0.701361285	0.811454522
receptor signaling protein serine/threonine kinase signaling protein(GO:0005076)	32	26	3.34407602	0.27719	1.832103992	0.72344	0.562432678	0.08259651	0.060568216	0.174361923	0.077276124	0.163499909	0.068027831
receptor signaling protein serine/threonine kinase(GO:0004702)	44	32	2.553034683	0.41845	1.552067134	0.77467	0.486726866	0.141016937	0.119077245	0.182865312	0.232296337	0.277421563	0.359077284
receptor signaling protein tyrosine kinase(GO:0004716)	20	11	3.120300175	0.31255	1.101951792	0.85992	0.48587453	0.178484366	0.280945411	0.291856568	0.382429718	0.370863671	0.296664842
receptor-associated protein(GO:0016962)	22	20	3.107335656	0.31575	1.889986364	0.71304	0.580705669	0.132662053	0.195634893	0.114592932	0.285275738	0.248821657	0.370517591
regulation of body size(GO:0040014)	9	6	4.910088751	0.10368	4.104577454	0.38687	0.700626204	0.070756116	0.106045195	0.187176934	0.102647925	0.052915319	0.199321761
regulation of CDK activity(GO:0000079)	54	33	2.475858543	0.43412	1.63621133	0.75948	0.481029944	0.037711195	0.108722769	0.125028537	0.193373946	0.275091861	0.355134016
regulation of cell growth(GO:0001558)	51	43	2.61641475	0.40647	0.896383716	0.89572	0.44450477	0.128383282	0.123752157	0.164553418	0.179587505	0.171034402	0.159269992
regulation of DNA recombination(GO:0000018)	8	5	4.343774484	0.15263	3.681252355	0.44117	0.657796508	0.148785806	0.235734836	0.148048042	0.333134433	0.701361285	0.811454522
regulation of G-protein coupled receptor protein signaling pathway(GO:0008277)	25	22	2.505483021	0.42819	1.720244108	0.74124	0.499062171	0.157080998	0.190838135	0.205967898	0.21324117	0.209615788	0.398423208
regulation of growth rate(GO:0040009)	10	9	3.422227007	0.26508	3.393930493	0.48268	0.659559089	0.087906283	0.306203869	0.268955401	0.388677089	0.527990371	0.686491811
regulation of metabolism(GO:0019222)	26	23	2.606369687	0.40824	1.985500462	0.69843	0.526854529	0.156820323	0.197644572	0.210131151	0.220047752	0.195224935	0.382078627
regulation of proteolysis and peptidolysis(GO:0030162)	11	11	2.69477379	0.39085	2.11448556	0.67692	0.57989462	0.248920484	0.244778931	0.291856568	0.382429718	0.458083885	0.631404317
repairosome(GO:0000108)	14	11	3.473315368	0.25779	1.888791272	0.71304	0.569115666	0.150373863	0.244778931	0.291856568	0.382429718	0.370863671	0.296664842
repression of survival gene products(GO:0008634)	9	4	2.347064798	0.46157	2.144844423	0.67151	0.442360944	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
repression of transcription(GO:0016481)	88	76	3.805710014	0.21286	3.060119485	0.52696	0.593484333	3.73E-04	8.11E-04	0.001439841	0.002416911	0.019770459	0.054842892
"repression of transcription, from Pol II promoter(GO:0000122)"	74	63	3.808562613	0.21286	2.841292321	0.55727	0.57840754	0.001542857	0.002083114	0.008377327	0.002619456	0.037605967	0.029186346
respiration(GO:0007585)	22	16	1.980426306	0.54136	0.964478209	0.88384	0.404147577	0.125249343	0.232234913	0.193107999	0.323374146	0.378401345	0.51221098
response to abiotic stimulus(GO:0009628)	118	88	1.992691486	0.53897	1.156194978	0.84988	0.431022092	0.003405714	0.022369001	0.006442007	6.94E-04	0.012306803	0.094214145
response to bacteria(GO:0009617)	18	13	2.644774971	0.40075	1.667856557	0.75248	0.495647176	0.195385706	0.254848143	0.293962103	0.363823576	0.397418995	0.580725359
response to pathogenic bacteria(GO:0009618)	13	10	2.62772812	0.40445	1.68251186	0.74945	0.52560241	0.215546951	0.296622318	0.337242032	0.387485706	0.491798765	0.658373848
response to viruses(GO:0009615)	23	19	2.189510045	0.49622	0.66938739	0.93546	0.409143713	0.178890534	0.113462257	0.230742831	0.277282666	0.363200767	0.366997395
retinoic acid receptor(GO:0003708)	11	8	1.734473783	0.60083	2.388550734	0.62902	0.391261142	0.175512605	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
retinoid binding(GO:0005501)	7	6	1.326045308	0.70446	0.914046175	0.8922	0.32518465	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
retinol binding(GO:0019841)	5	5	1.301135708	0.70952	0.914046175	0.8922	0.360698374	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
retrograde (Golgi to ER) transport(GO:0006890)	9	5	1.824055313	0.57929	0.999432314	0.87881	0.400529801	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
rhabdomere(GO:0016028)	4	4	1.614615313	0.62941	1.733693026	0.73938	0.381531423	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
Rho GTPase activator(GO:0005100)	22	16	2.723831259	0.38488	1.528017782	0.77993	0.47883259	0.119257914	0.152706941	0.270638553	0.323374146	0.378401345	0.350273756
Rho guanyl-nucleotide exchange factor(GO:0005089)	8	7	3.732350316	0.22185	1.832103992	0.72344	0.578069889	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
Rho protein signal transduction(GO:0007266)	34	26	2.251683502	0.48064	1.528017782	0.77993	0.475286001	0.155036273	0.179795914	0.132178716	0.177403041	0.302370485	0.336948587
Rho small monomeric GTPase(GO:0003931)	20	17	1.493066784	0.65946	0.766644285	0.91972	0.365786879	0.103806719	0.064604141	0.054360607	0.157967465	0.299095296	0.491213664
rhodopsin mediated signaling(GO:0016056)	7	5	3.002215048	0.33356	1.733693026	0.73938	0.50769416	0.344771205	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
rhythmic behavior(GO:0007622)	12	11	2.647592112	0.40075	1.154220652	0.84988	0.494977489	0.150373863	0.057689054	0.291856568	0.382429718	0.458083885	0.631404317
ribonuclease P complex(GO:0005655)	6	5	3.508448596	0.25355	1.965840979	0.70101	0.623696568	0.320392215	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
ribonuclease P(GO:0004526)	9	8	3.420204848	0.26508	3.84693246	0.41767	0.663650325	0.154043812	0.307303762	0.248202788	0.385053587	0.566840302	0.71580696
ribonuclease(GO:0004540)	25	23	3.414720134	0.26668	2.476573521	0.61658	0.635453119	0.082695057	0.17216587	0.083282873	0.125897967	0.330989601	0.375925373
ribonucleoprotein(GO:0003733)	13	10	4.352758599	0.15179	3.690550826	0.43956	0.712024096	0.012306007	0.116637227	0.283341161	0.199699769	0.119624654	0.281179636
ribonucleoside metabolism(GO:0009119)	5	5	4.589181609	0.13023	4.279840697	0.36457	0.793473811	0.034527854	0.068398986	0.148048042	0.333134433	0.257900072	0.811454522
ribonucleoside monophosphate biosynthesis(GO:0009156)	6	4	1.818116826	0.5814	1.838673932	0.72344	0.410245606	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
ribonucleotide biosynthesis(GO:0009260)	6	4	1.818116826	0.5814	1.838673932	0.72344	0.410245606	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
ribonucleotide metabolism(GO:0009259)	6	4	1.818116826	0.5814	1.838673932	0.72344	0.410245606	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
ribosome biogenesis(GO:0007046)	40	33	4.026143105	0.18599	2.910218486	0.54592	0.663463193	0.035626781	0.013175101	0.006459175	0.030699574	0.016678638	0.106729086
ribulose bisphosphate carboxylase complex(GO:0009573)	16	12	4.453069363	0.14206	4.71219827	0.31625	0.662940869	0.037914029	0.006437645	0.022945694	0.235844716	0.376888393	0.310414461
RNA catabolism(GO:0006401)	21	20	3.46366175	0.2593	3.442551751	0.47582	0.595983112	0.041878755	0.038777731	0.192050894	0.095298635	0.109592345	0.150056829
RNA dependent adenosinetriphosphatase(GO:0008186)	22	19	4.193758222	0.1675	4.627087997	0.32658	0.657948695	0.011620873	7.27E-04	0.015314572	0.001638981	0.240378343	0.366997395
RNA dependent DNA replication(GO:0006278)	6	4	2.888040637	0.35524	4.467245621	0.3443	0.503160366	0.281506813	0.182480293	0.504282468	0.648012787	0.752941299	0.846088534
"RNA elongation, from Pol II promoter(GO:0006368)"	4	4	4.098018641	0.17831	4.66756154	0.32173	0.774801348	0.01010886	0.182480293	0.504282468	0.648012787	0.752941299	0.846088534
RNA helicase(GO:0003724)	31	28	4.652005963	0.12455	4.627087997	0.32658	0.714272777	7.28E-05	3.26E-07	0.001678653	4.42E-05	0.028803578	0.078882596
RNA ligase(GO:0008452)	88	79	2.821957831	0.366	1.929181106	0.70728	0.534859723	0.046094772	0.08662006	0.123650079	0.147773846	0.081975339	0.20689696
RNA localization(GO:0006403)	17	12	3.071367533	0.32117	1.158245214	0.84988	0.391319193	0.146202762	0.261249781	0.295155296	0.235844716	0.152295866	0.310414461
RNA methyltransferase(GO:0008173)	7	5	2.661936353	0.39673	0.70226042	0.92855	0.4146177	0.320392215	0.235734836	0.396759683	0.333134433	0.701361285	0.811454522
RNA modification(GO:0009451)	10	8	3.145507601	0.30902	3.690550826	0.43956	0.627032643	0.057195318	0.178412876	0.254209358	0.419827894	0.566840302	0.71580696
RNA polymerase I transcription factor(GO:0003701)	6	5	3.500635071	0.25355	2.31446516	0.63919	0.571679711	0.320392215	0.235734836	0.424930531	0.5813859	0.701361285	0.811454522
RNA polymerase III transcription factor(GO:0003709)	10	7	3.88555964	0.20272	2.835134226	0.55853	0.60542661	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
RNA splicing(GO:0008380)	115	91	3.798442144	0.21412	2.857095506	0.55599	0.644722962	6.89E-04	0.001956583	0.003178743	6.57E-05	0.024891881	0.046184255
rough endoplasmic reticulum(GO:0005791)	4	4	2.224321563	0.48747	2.190734628	0.66354	0.556675897	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
rRNA binding(GO:0019843)	5	4	3.160478204	0.30563	3.818162126	0.42238	0.669967493	0.281506813	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
rRNA processing(GO:0006364)	27	26	3.920373322	0.19761	3.511156093	0.46615	0.674404784	0.003808551	0.012560347	0.026769127	0.030880312	0.022198548	0.336948587
S-adenosylmethionine-dependent methyltransferase(GO:0008757)	37	30	3.240316018	0.29253	1.544865707	0.77668	0.501095008	0.150577737	0.061001601	0.148148691	0.182615318	0.192356056	0.08996601
sarcoglycan complex(GO:0016012)	6	4	0.872408646	0.82938	0.257791457	0.99087	0.193564893	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
sarcomere(GO:0030017)	8	6	4.642462339	0.12531	6.71219827	0.14837	0.519588953	0.203230125	0.106045195	0.046526838	0.015645786	0.288313959	0.199321761
satellite DNA binding(GO:0003696)	4	4	2.903582468	0.3516	2.46075072	0.61811	0.652480135	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
scavenger receptor(GO:0005044)	17	14	1.888993526	0.56525	1.778630107	0.73401	0.462004064	0.093913563	0.21627846	0.238013304	0.218838087	0.370164396	0.556928008
secondary metabolism(GO:0019748)	8	4	1.683828983	0.61234	1.744117498	0.73849	0.436642186	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
second-messenger-mediated signaling(GO:0019932)	93	68	2.429129133	0.44461	1.424176195	0.79996	0.486159484	0.085466372	0.077437971	0.06737263	0.087645063	0.160072068	0.242539588
secreted phospholipase A2(GO:0004624)	6	5	2.501133187	0.42819	2.302037859	0.64097	0.55961469	0.320392215	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
secretin-like receptor(GO:0001633)	23	17	2.101698449	0.51372	1.350599905	0.81327	0.430093417	0.103806719	0.218520741	0.172869377	0.30824888	0.299095296	0.491213664
secretory granule(GO:0030141)	6	6	2.39933968	0.45089	2.308920277	0.64097	0.548992453	0.282459155	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
secretory vesicle membrane(GO:0005804)	4	4	5.105394214	0.09072	6.310691141	0.17352	0.696544667	0.087136606	0.03529256	0.013094319	0.050982511	0.221464771	0.144430828
secretory vesicle(GO:0005803)	39	35	2.389255754	0.45314	1.046112792	0.87239	0.44922227	0.112910427	0.156332575	0.184524776	0.202973524	0.214715907	0.346433926
selenium binding(GO:0008430)	17	15	2.682372662	0.3928	1.531556663	0.77809	0.512895318	0.149088914	0.243495759	0.227316121	0.27108304	0.380828486	0.342373775
septin ring(GO:0005940)	18	10	2.366297395	0.45755	1.825890744	0.72471	0.447855422	0.213920068	0.226844391	0.337242032	0.387485706	0.361916059	0.281179636
serine carboxypeptidase(GO:0004185)	7	5	0.990829337	0.79535	0.567823472	0.9511	0.293413606	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
serine esterase(GO:0004759)	13	11	2.983527948	0.33727	2.309764924	0.64097	0.595997327	0.248920484	0.280945411	0.312594921	0.382429718	0.370863671	0.296664842
serine family amino acid biosynthesis(GO:0009070)	5	5	0.652231694	0.88976	0.271608878	0.98928	0.177965081	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
serine family amino acid catabolism(GO:0009071)	4	4	1.162071633	0.74754	1.635593481	0.75948	0.340356369	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
serine family amino acid metabolism(GO:0009069)	15	15	0.954377878	0.80651	0.638145671	0.94009	0.285561583	0.003249164	0.021760913	0.076598644	0.196310637	0.34477583	0.534103089
serine metabolism(GO:0006563)	4	4	1.225907036	0.73088	1.380156698	0.80724	0.357332049	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
serine protease inhibitor(GO:0004867)	64	57	2.420771699	0.44461	1.437014008	0.79825	0.473333461	0.109830107	0.111842554	0.144022612	0.171136176	0.151064967	0.269249986
serine-type endopeptidase(GO:0004252)	122	99	2.58858253	0.41238	1.426816143	0.79996	0.470429542	0.067506939	0.093576593	0.098578126	0.0552045	0.063908004	0.108308814
serotonin receptor(GO:0004993)	17	10	2.765971173	0.37712	1.664582221	0.75248	0.503819277	0.265144619	0.229686715	0.283341161	0.33789298	0.491798765	0.658373848
serpin(GO:0004868)	27	24	2.056841489	0.52511	1.437014008	0.79825	0.446149127	0.096898292	0.166435718	0.216762287	0.268528804	0.181820448	0.36640266
sex determination(GO:0007530)	6	6	2.49763327	0.4302	3.566683092	0.45947	0.490807643	0.203230125	0.274068357	0.401240846	0.521602209	0.653308958	0.778234229
sex differentiation(GO:0007548)	16	12	2.737380697	0.38292	2.798574498	0.56511	0.520737929	0.23692287	0.261249781	0.287348042	0.374315198	0.376888393	0.605536445
SH3/SH2 adaptor protein(GO:0005070)	67	49	2.359040402	0.45954	1.528017782	0.77993	0.446380707	0.07070252	0.01463444	0.058422212	0.179875713	0.191995263	0.277163917
SH3-domain binding(GO:0017124)	6	4	2.083503979	0.51818	2.556353751	0.60448	0.482362148	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
sialyltransferase(GO:0008373)	13	12	2.168526173	0.50038	1.600556464	0.76548	0.405107656	0.23692287	0.252949044	0.287348042	0.374315198	0.376888393	0.310414461
siderochrome biosynthesis(GO:0019290)	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
"siderochrome biosynthesis, from catechol(GO:0019540)"	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
siderochrome metabolism(GO:0009237)	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
sigma DNA polymerase(GO:0019984)	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
signal recognition particle(GO:0005786)	16	12	3.709258977	0.22573	2.732301327	0.57289	0.640827107	0.176059572	0.165201445	0.183575284	0.235844716	0.152295866	0.310414461
signal sequence receptor(GO:0005048)	7	5	2.262897997	0.47869	1.799009136	0.72941	0.537242625	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
signaling (initiator) caspase(GO:0004200)	14	5	2.280112317	0.47426	0.767794466	0.91972	0.2653823	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
signalosome complex(GO:0008180)	5	5	1.531665122	0.64917	1.035454235	0.87357	0.431017459	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
single-strand break repair(GO:0000012)	4	4	6.588375449	0.02997	6.653647026	0.15125	0.750421382	0.281506813	0.182480293	0.105386691	0.050982511	0.221464771	0.144430828
single-stranded DNA binding(GO:0003697)	36	24	4.09374768	0.17831	3.305538712	0.49599	0.635685695	0.004469016	0.081822942	0.044827948	0.135581492	0.056430768	0.18453776
single-stranded RNA binding(GO:0003727)	17	10	3.994403514	0.18924	2.52537441	0.60847	0.591710843	0.265144619	0.296622318	0.283341161	0.387485706	0.361916059	0.281179636
